Order Date,Order ID,Product Name,Category Name,Store Name,Region,Qty,Unit Price,Cost Price,Stock Level
2025-01-06,ORD-10044,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,1.0,1400,950,114
2025-01-06,ORD-10045,Standing Desk Dual Motor,Furniture,Delhi North,North,4.0,32000,21000,139
2025-01-06,ORD-10046,Levi's Denim Jacket,Apparel,Delhi North,North,2.0,4500,2400,29
2025-01-06,ORD-10047,Dyson Airwrap Styler,Home & Kitchen,Delhi North,North,1.0,49000,38000,27
2025-01-07,ORD-10048,Philips Air Fryer XL,Home & Kitchen,Chennai Central,South,1.0,12500,8500,62
2025-01-07,ORD-10049,Dell XPS 15,Electronics,Chennai Central,South,2.0,140000,110000,118
2025-01-07,ORD-10050,Dell XPS 15,Electronics,Mumbai West,West,1.0,140000,110000,35
2025-01-07,ORD-10051,Artisanal Dark Chocolate Pack,Grocery,Delhi North,North,6.0,650,380,76
2025-01-07,ORD-10052,Standing Desk Dual Motor,Furniture,Mumbai West,West,3.0,32000,21000,132
2025-01-07,ORD-10053,Ergonomic Office Chair,Furniture,Chennai Central,South,4.0,18000,11000,40
2025-01-07,ORD-10054,Dell XPS 15,Electronics,Mumbai West,West,3.0,140000,110000,48
2025-01-07,ORD-10055,Ergonomic Office Chair,Furniture,Mumbai West,West,3.0,18000,11000,87
2025-01-08,ORD-10056,Artisanal Dark Chocolate Pack,Grocery,Kolkata South,East,5.0,650,380,41
2025-01-08,ORD-10057,Adidas Ultraboost,Apparel,Chennai Central,South,1.0,12000,7000,54
2025-01-08,ORD-10058,Minimalist Sofa 3-Seater,Furniture,Kolkata South,East,2.0,60000,40000,102
2025-01-08,ORD-10059,Adidas Ultraboost,Apparel,Kolkata South,East,4.0,12000,7000,79
2025-01-08,ORD-10060,iPhone 15 Pro,Electronics,Bengaluru East,South,3.0,120000,95000,26
2025-01-09,ORD-10061,Solid Wood Dining Table,Furniture,Delhi North,North,2.0,45000,30000,128
2025-01-09,ORD-10062,Robot Vacuum Cleaner,Home & Kitchen,Kolkata South,East,1.0,29000,19000,43
2025-01-09,ORD-10063,iPad Air 5th Gen,Electronics,Mumbai West,West,1.0,55000,42000,109
2025-01-09,ORD-10064,Philips Air Fryer XL,Home & Kitchen,Bengaluru East,South,2.0,12500,8500,25
2025-01-10,ORD-10065,Ergonomic Office Chair,Furniture,Delhi North,North,2.0,18000,11000,78
2025-01-10,ORD-10066,MacBook Air M3,Electronics,Kolkata South,East,4.0,115000,90000,54
2025-01-10,ORD-10067,Levi's Denim Jacket,Apparel,Mumbai West,West,4.0,4500,2400,21
2025-01-10,ORD-10068,Adidas Ultraboost,Apparel,Bengaluru East,South,2.0,12000,7000,83
2025-01-10,ORD-10069,Nike Air Max Sneakers,Apparel,Bengaluru East,South,1.0,9500,5500,135
2025-01-10,ORD-10070,Levi's Denim Jacket,Apparel,Bengaluru East,South,3.0,4500,2400,93
2025-01-11,ORD-10071,Nike Air Max Sneakers,Apparel,Mumbai West,West,4.0,9500,5500,99
2025-01-11,ORD-10072,Ergonomic Office Chair,Furniture,Delhi North,North,3.0,18000,11000,145
2025-01-11,ORD-10073,Artisanal Dark Chocolate Pack,Grocery,Chennai Central,South,5.0,650,380,60
2025-01-11,ORD-10074,Nespresso Coffee Machine,Home & Kitchen,Chennai Central,South,1.0,18500,12500,126
2025-01-11,ORD-10075,Minimalist Sofa 3-Seater,Furniture,Bengaluru East,South,1.0,60000,40000,113
2025-01-11,ORD-10076,Philips Air Fryer XL,Home & Kitchen,Delhi North,North,1.0,12500,8500,126
2025-01-11,ORD-10077,Dell XPS 15,Electronics,Kolkata South,East,2.0,140000,110000,108
2025-01-11,ORD-10078,Organic Extra Virgin Olive Oil 1L,Grocery,Delhi North,North,2.0,1400,950,91
2025-01-12,ORD-10079,Standing Desk Dual Motor,Furniture,Delhi North,North,4.0,32000,21000,90
2025-01-12,ORD-10080,Philips Air Fryer XL,Home & Kitchen,Mumbai West,West,4.0,12500,8500,112
2025-01-12,ORD-10081,Puma Track Pants,Apparel,Kolkata South,East,3.0,2200,1100,118
2025-01-12,ORD-10082,Dyson Airwrap Styler,Home & Kitchen,Delhi North,North,3.0,49000,38000,68
2025-01-12,ORD-10083,Nespresso Coffee Machine,Home & Kitchen,Bengaluru East,South,4.0,18500,12500,128
2025-01-12,ORD-10084,Puma Track Pants,Apparel,Bengaluru East,South,2.0,2200,1100,36
2025-01-12,ORD-10085,Minimalist Sofa 3-Seater,Furniture,Chennai Central,South,2.0,60000,40000,94
2025-01-12,ORD-10086,Levi's Denim Jacket,Apparel,Mumbai West,West,1.0,4500,2400,26
2025-01-12,ORD-10087,Zara Cotton Shirt,Apparel,Kolkata South,East,1.0,2500,1200,131
2025-01-12,ORD-10088,Premium Basmati Rice 5kg,Grocery,Bengaluru East,South,7.0,850,580,77
2025-01-12,ORD-10089,Nike Air Max Sneakers,Apparel,Chennai Central,South,4.0,9500,5500,71
2025-01-13,ORD-10090,Robot Vacuum Cleaner,Home & Kitchen,Chennai Central,South,2.0,29000,19000,46
2025-01-13,ORD-10091,Premium Basmati Rice 5kg,Grocery,Bengaluru East,South,8.0,850,580,144
2025-01-13,ORD-10092,Imported Coffee Beans 500g,Grocery,Mumbai West,West,8.0,1200,750,81
2025-01-13,ORD-10093,Adidas Ultraboost,Apparel,Kolkata South,East,4.0,12000,7000,76
2025-01-13,ORD-10094,Standing Desk Dual Motor,Furniture,Chennai Central,South,3.0,32000,21000,75
2025-01-14,ORD-10095,Minimalist Sofa 3-Seater,Furniture,Kolkata South,East,1.0,60000,40000,50
2025-01-14,ORD-10096,Levi's Denim Jacket,Apparel,Bengaluru East,South,2.0,4500,2400,69
2025-01-14,ORD-10097,Sony WH-1000XM5 Headphones,Electronics,Bengaluru East,South,3.0,28000,20000,134
2025-01-14,ORD-10098,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,7.0,1400,950,20
2025-01-14,ORD-10099,Robot Vacuum Cleaner,Home & Kitchen,Bengaluru East,South,1.0,29000,19000,105
2025-01-14,ORD-10100,Standing Desk Dual Motor,Furniture,Bengaluru East,South,2.0,32000,21000,139
2025-01-15,ORD-10101,Standing Desk Dual Motor,Furniture,Bengaluru East,South,1.0,32000,21000,114
2025-01-15,ORD-10102,Standing Desk Dual Motor,Furniture,Mumbai West,West,4.0,32000,21000,47
2025-01-15,ORD-10103,Dyson Airwrap Styler,Home & Kitchen,Bengaluru East,South,1.0,49000,38000,36
2025-01-15,ORD-10104,Zara Cotton Shirt,Apparel,Mumbai West,West,1.0,2500,1200,81
2025-01-15,ORD-10105,Artisanal Dark Chocolate Pack,Grocery,Mumbai West,West,6.0,650,380,101
2025-01-16,ORD-10106,Standing Desk Dual Motor,Furniture,Delhi North,North,1.0,32000,21000,135
2025-01-16,ORD-10107,iPad Air 5th Gen,Electronics,Kolkata South,East,1.0,55000,42000,104
2025-01-16,ORD-10108,Nike Air Max Sneakers,Apparel,Chennai Central,South,1.0,9500,5500,78
2025-01-16,ORD-10109,Nike Air Max Sneakers,Apparel,Kolkata South,East,2.0,9500,5500,76
2025-01-16,ORD-10110,Zara Cotton Shirt,Apparel,Chennai Central,South,2.0,2500,1200,134
2025-01-16,ORD-10111,Minimalist Sofa 3-Seater,Furniture,Mumbai West,West,1.0,60000,40000,56
2025-01-16,ORD-10112,Ergonomic Office Chair,Furniture,Kolkata South,East,1.0,18000,11000,94
2025-01-17,ORD-10113,Imported Coffee Beans 500g,Grocery,Mumbai West,West,4.0,1200,750,41
2025-01-17,ORD-10114,Ergonomic Office Chair,Furniture,Kolkata South,East,1.0,18000,11000,103
2025-01-17,ORD-10115,Robot Vacuum Cleaner,Home & Kitchen,Delhi North,North,1.0,29000,19000,144
2025-01-17,ORD-10116,Ergonomic Office Chair,Furniture,Bengaluru East,South,4.0,18000,11000,42
2025-01-17,ORD-10117,Artisanal Dark Chocolate Pack,Grocery,Bengaluru East,South,7.0,650,380,60
2025-01-17,ORD-10118,Nespresso Coffee Machine,Home & Kitchen,Kolkata South,East,4.0,18500,12500,134
2025-01-17,ORD-10119,Artisanal Dark Chocolate Pack,Grocery,Delhi North,North,2.0,650,380,86
2025-01-17,ORD-10120,Premium Basmati Rice 5kg,Grocery,Bengaluru East,South,6.0,850,580,22
2025-01-18,ORD-10121,Solid Wood Dining Table,Furniture,Bengaluru East,South,2.0,45000,30000,105
2025-01-18,ORD-10122,Minimalist Sofa 3-Seater,Furniture,Delhi North,North,3.0,60000,40000,17
2025-01-18,ORD-10123,Philips Air Fryer XL,Home & Kitchen,Chennai Central,South,2.0,12500,8500,119
2025-01-18,ORD-10124,Premium Basmati Rice 5kg,Grocery,Bengaluru East,South,8.0,850,580,19
2025-01-18,ORD-10125,MacBook Air M3,Electronics,Mumbai West,West,4.0,115000,90000,77
2025-01-18,ORD-10126,Minimalist Sofa 3-Seater,Furniture,Bengaluru East,South,3.0,60000,40000,123
2025-01-18,ORD-10127,Nespresso Coffee Machine,Home & Kitchen,Delhi North,North,4.0,18500,12500,84
2025-01-18,ORD-10128,Minimalist Sofa 3-Seater,Furniture,Mumbai West,West,1.0,60000,40000,64
2025-01-18,ORD-10129,Ergonomic Office Chair,Furniture,Kolkata South,East,2.0,18000,11000,64
2025-01-18,ORD-10130,Zara Cotton Shirt,Apparel,Delhi North,North,3.0,2500,1200,40
2025-01-19,ORD-10131,Solid Wood Dining Table,Furniture,Delhi North,North,2.0,45000,30000,92
2025-01-19,ORD-10132,iPad Air 5th Gen,Electronics,Kolkata South,East,2.0,55000,42000,85
2025-01-19,ORD-10133,iPhone 15 Pro,Electronics,Kolkata South,East,3.0,120000,95000,47
2025-01-19,ORD-10134,Organic Extra Virgin Olive Oil 1L,Grocery,Chennai Central,South,8.0,1400,950,137
2025-01-19,ORD-10135,Artisanal Dark Chocolate Pack,Grocery,Mumbai West,West,5.0,650,380,137
2025-01-19,ORD-10136,iPhone 15 Pro,Electronics,Bengaluru East,South,4.0,120000,95000,33
2025-01-19,ORD-10137,Dyson Airwrap Styler,Home & Kitchen,Mumbai West,West,2.0,49000,38000,1
2025-01-19,ORD-10138,Dell XPS 15,Electronics,Bengaluru East,South,2.0,140000,110000,148
2025-01-20,ORD-10139,Imported Coffee Beans 500g,Grocery,Delhi North,North,5.0,1200,750,30
2025-01-20,ORD-10140,Dyson Airwrap Styler,Home & Kitchen,Mumbai West,West,2.0,49000,38000,82
2025-01-20,ORD-10141,Levi's Denim Jacket,Apparel,Mumbai West,West,1.0,4500,2400,55
2025-01-20,ORD-10142,Sony WH-1000XM5 Headphones,Electronics,Bengaluru East,South,4.0,28000,20000,89
2025-01-20,ORD-10143,Samsung Galaxy S24,Electronics,Delhi North,North,3.0,90000,72000,131
2025-01-20,ORD-10144,iPad Air 5th Gen,Electronics,Mumbai West,West,3.0,55000,42000,65
2025-01-20,ORD-10145,Organic Extra Virgin Olive Oil 1L,Grocery,Kolkata South,East,3.0,1400,950,83
2025-01-21,ORD-10146,iPhone 15 Pro,Electronics,Mumbai West,West,3.0,120000,95000,88
2025-01-21,ORD-10147,Organic Extra Virgin Olive Oil 1L,Grocery,Bengaluru East,South,7.0,1400,950,84
2025-01-21,ORD-10148,Robot Vacuum Cleaner,Home & Kitchen,Bengaluru East,South,1.0,29000,19000,25
2025-01-21,ORD-10149,Artisanal Dark Chocolate Pack,Grocery,Kolkata South,East,1.0,650,380,38
2025-01-21,ORD-10150,Puma Track Pants,Apparel,Kolkata South,East,1.0,2200,1100,83
2025-01-22,ORD-10151,Samsung Galaxy S24,Electronics,Bengaluru East,South,4.0,90000,72000,86
2025-01-22,ORD-10152,Puma Track Pants,Apparel,Bengaluru East,South,4.0,2200,1100,38
2025-01-22,ORD-10153,Artisanal Dark Chocolate Pack,Grocery,Bengaluru East,South,6.0,650,380,41
2025-01-22,ORD-10154,Adidas Ultraboost,Apparel,Bengaluru East,South,4.0,12000,7000,88
2025-01-22,ORD-10155,Organic Extra Virgin Olive Oil 1L,Grocery,Bengaluru East,South,6.0,1400,950,79
2025-01-22,ORD-10156,Ergonomic Office Chair,Furniture,Bengaluru East,South,1.0,18000,11000,133
2025-01-22,ORD-10157,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,8.0,1400,950,128
2025-01-22,ORD-10158,Samsung Galaxy S24,Electronics,Delhi North,North,2.0,90000,72000,88
2025-01-23,ORD-10159,Organic Extra Virgin Olive Oil 1L,Grocery,Chennai Central,South,3.0,1400,950,94
2025-01-23,ORD-10160,Dyson Airwrap Styler,Home & Kitchen,Kolkata South,East,4.0,49000,38000,38
2025-01-23,ORD-10161,Sony WH-1000XM5 Headphones,Electronics,Chennai Central,South,2.0,28000,20000,142
2025-01-23,ORD-10162,Minimalist Sofa 3-Seater,Furniture,Bengaluru East,South,4.0,60000,40000,135
2025-01-23,ORD-10163,Zara Cotton Shirt,Apparel,Kolkata South,East,2.0,2500,1200,113
2025-01-23,ORD-10164,Puma Track Pants,Apparel,Kolkata South,East,2.0,2200,1100,32
2025-01-23,ORD-10165,Standing Desk Dual Motor,Furniture,Delhi North,North,3.0,32000,21000,15
2025-01-24,ORD-10166,Standing Desk Dual Motor,Furniture,Mumbai West,West,4.0,32000,21000,138
2025-01-24,ORD-10167,Minimalist Sofa 3-Seater,Furniture,Kolkata South,East,4.0,60000,40000,131
2025-01-24,ORD-10168,Solid Wood Dining Table,Furniture,Mumbai West,West,4.0,45000,30000,74
2025-01-24,ORD-10169,Organic Extra Virgin Olive Oil 1L,Grocery,Delhi North,North,7.0,1400,950,113
2025-01-24,ORD-10170,Zara Cotton Shirt,Apparel,Chennai Central,South,2.0,2500,1200,143
2025-01-24,ORD-10171,Nespresso Coffee Machine,Home & Kitchen,Chennai Central,South,4.0,18500,12500,40
2025-01-25,ORD-10172,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,3.0,1400,950,34
2025-01-25,ORD-10173,Artisanal Dark Chocolate Pack,Grocery,Delhi North,North,2.0,650,380,99
2025-01-25,ORD-10174,Robot Vacuum Cleaner,Home & Kitchen,Delhi North,North,4.0,29000,19000,24
2025-01-25,ORD-10175,Dyson Airwrap Styler,Home & Kitchen,Mumbai West,West,3.0,49000,38000,73
2025-01-25,ORD-10176,Organic Extra Virgin Olive Oil 1L,Grocery,Chennai Central,South,3.0,1400,950,91
2025-01-25,ORD-10177,iPhone 15 Pro,Electronics,Delhi North,North,1.0,120000,95000,90
2025-01-25,ORD-10178,Minimalist Sofa 3-Seater,Furniture,Bengaluru East,South,2.0,60000,40000,77
2025-01-25,ORD-10179,Robot Vacuum Cleaner,Home & Kitchen,Kolkata South,East,2.0,29000,19000,58
2025-01-25,ORD-10180,Nike Air Max Sneakers,Apparel,Kolkata South,East,4.0,9500,5500,76
2025-01-25,ORD-10181,Premium Basmati Rice 5kg,Grocery,Mumbai West,West,5.0,850,580,132
2025-01-25,ORD-10182,Ergonomic Office Chair,Furniture,Bengaluru East,South,3.0,18000,11000,55
2025-01-26,ORD-10183,Artisanal Dark Chocolate Pack,Grocery,Kolkata South,East,7.0,650,380,79
2025-01-26,ORD-10184,Artisanal Dark Chocolate Pack,Grocery,Mumbai West,West,8.0,650,380,42
2025-01-26,ORD-10185,Zara Cotton Shirt,Apparel,Kolkata South,East,3.0,2500,1200,90
2025-01-26,ORD-10186,Ergonomic Office Chair,Furniture,Bengaluru East,South,3.0,18000,11000,17
2025-01-26,ORD-10187,Dyson Airwrap Styler,Home & Kitchen,Kolkata South,East,4.0,49000,38000,88
2025-01-26,ORD-10188,Puma Track Pants,Apparel,Delhi North,North,2.0,2200,1100,63
2025-01-26,ORD-10189,Nespresso Coffee Machine,Home & Kitchen,Mumbai West,West,1.0,18500,12500,25
2025-01-27,ORD-10190,Organic Extra Virgin Olive Oil 1L,Grocery,Kolkata South,East,3.0,1400,950,38
2025-01-27,ORD-10191,Minimalist Sofa 3-Seater,Furniture,Bengaluru East,South,2.0,60000,40000,66
2025-01-27,ORD-10192,Puma Track Pants,Apparel,Delhi North,North,3.0,2200,1100,57
2025-01-27,ORD-10193,Standing Desk Dual Motor,Furniture,Delhi North,North,3.0,32000,21000,44
2025-01-27,ORD-10194,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,7.0,1400,950,108
2025-01-27,ORD-10195,Sony WH-1000XM5 Headphones,Electronics,Chennai Central,South,3.0,28000,20000,46
2025-01-28,ORD-10196,Minimalist Sofa 3-Seater,Furniture,Kolkata South,East,4.0,60000,40000,110
2025-01-28,ORD-10197,iPad Air 5th Gen,Electronics,Mumbai West,West,4.0,55000,42000,21
2025-01-28,ORD-10198,Nespresso Coffee Machine,Home & Kitchen,Kolkata South,East,2.0,18500,12500,31
2025-01-28,ORD-10199,Artisanal Dark Chocolate Pack,Grocery,Bengaluru East,South,3.0,650,380,26
2025-01-28,ORD-10200,MacBook Air M3,Electronics,Bengaluru East,South,1.0,115000,90000,39
2025-01-28,ORD-10201,Puma Track Pants,Apparel,Mumbai West,West,4.0,2200,1100,131
2025-01-28,ORD-10202,Standing Desk Dual Motor,Furniture,Kolkata South,East,2.0,32000,21000,121
2025-01-29,ORD-10203,Imported Coffee Beans 500g,Grocery,Delhi North,North,6.0,1200,750,70
2025-01-29,ORD-10204,Imported Coffee Beans 500g,Grocery,Mumbai West,West,2.0,1200,750,109
2025-01-29,ORD-10205,Nespresso Coffee Machine,Home & Kitchen,Chennai Central,South,4.0,18500,12500,85
2025-01-29,ORD-10206,Nike Air Max Sneakers,Apparel,Bengaluru East,South,1.0,9500,5500,69
2025-01-30,ORD-10207,iPhone 15 Pro,Electronics,Delhi North,North,2.0,120000,95000,47
2025-01-30,ORD-10208,Philips Air Fryer XL,Home & Kitchen,Chennai Central,South,2.0,12500,8500,70
2025-01-30,ORD-10209,Adidas Ultraboost,Apparel,Mumbai West,West,1.0,12000,7000,85
2025-01-30,ORD-10210,Levi's Denim Jacket,Apparel,Kolkata South,East,3.0,4500,2400,59
2025-01-30,ORD-10211,iPad Air 5th Gen,Electronics,Chennai Central,South,2.0,55000,42000,18
2025-01-30,ORD-10212,Solid Wood Dining Table,Furniture,Kolkata South,East,3.0,45000,30000,19
2025-01-30,ORD-10213,Adidas Ultraboost,Apparel,Chennai Central,South,2.0,12000,7000,122
2025-01-30,ORD-10214,Dyson Airwrap Styler,Home & Kitchen,Chennai Central,South,4.0,49000,38000,129
2025-01-31,ORD-10215,Dyson Airwrap Styler,Home & Kitchen,Bengaluru East,South,2.0,49000,38000,26
2025-01-31,ORD-10216,Nespresso Coffee Machine,Home & Kitchen,Bengaluru East,South,1.0,18500,12500,30
2025-01-31,ORD-10217,Imported Coffee Beans 500g,Grocery,Bengaluru East,South,8.0,1200,750,128
2025-01-31,ORD-10218,iPhone 15 Pro,Electronics,Delhi North,North,2.0,120000,95000,31
2025-01-31,ORD-10219,Adidas Ultraboost,Apparel,Kolkata South,East,3.0,12000,7000,112
2025-01-31,ORD-10220,Nespresso Coffee Machine,Home & Kitchen,Bengaluru East,South,4.0,18500,12500,40
2025-01-31,ORD-10221,iPad Air 5th Gen,Electronics,Kolkata South,East,2.0,55000,42000,125
2025-01-31,ORD-10222,Premium Basmati Rice 5kg,Grocery,Bengaluru East,South,8.0,850,580,117
2025-02-01,ORD-10223,MacBook Air M3,Electronics,Bengaluru East,South,3.0,115000,90000,80
2025-02-01,ORD-10224,Solid Wood Dining Table,Furniture,Bengaluru East,South,1.0,45000,30000,38
2025-02-01,ORD-10225,iPhone 15 Pro,Electronics,Bengaluru East,South,1.0,120000,95000,110
2025-02-01,ORD-10226,Puma Track Pants,Apparel,Chennai Central,South,3.0,2200,1100,46
2025-02-01,ORD-10227,Artisanal Dark Chocolate Pack,Grocery,Bengaluru East,South,5.0,650,380,94
2025-02-01,ORD-10228,Ergonomic Office Chair,Furniture,Kolkata South,East,2.0,18000,11000,54
2025-02-01,ORD-10229,Premium Basmati Rice 5kg,Grocery,Chennai Central,South,6.0,850,580,44
2025-02-01,ORD-10230,Solid Wood Dining Table,Furniture,Bengaluru East,South,1.0,45000,30000,83
2025-02-01,ORD-10231,Samsung Galaxy S24,Electronics,Delhi North,North,3.0,90000,72000,101
2025-02-01,ORD-10232,Ergonomic Office Chair,Furniture,Mumbai West,West,2.0,18000,11000,117
2025-02-02,ORD-10233,Nike Air Max Sneakers,Apparel,Chennai Central,South,2.0,9500,5500,111
2025-02-02,ORD-10234,Imported Coffee Beans 500g,Grocery,Delhi North,North,6.0,1200,750,94
2025-02-02,ORD-10235,Ergonomic Office Chair,Furniture,Chennai Central,South,2.0,18000,11000,55
2025-02-02,ORD-10236,Dyson Airwrap Styler,Home & Kitchen,Chennai Central,South,3.0,49000,38000,128
2025-02-02,ORD-10237,Imported Coffee Beans 500g,Grocery,Bengaluru East,South,4.0,1200,750,146
2025-02-02,ORD-10238,MacBook Air M3,Electronics,Bengaluru East,South,1.0,115000,90000,87
2025-02-02,ORD-10239,Robot Vacuum Cleaner,Home & Kitchen,Kolkata South,East,3.0,29000,19000,26
2025-02-03,ORD-10240,Organic Extra Virgin Olive Oil 1L,Grocery,Chennai Central,South,5.0,1400,950,69
2025-02-03,ORD-10241,Adidas Ultraboost,Apparel,Delhi North,North,3.0,12000,7000,45
2025-02-03,ORD-10242,Sony WH-1000XM5 Headphones,Electronics,Bengaluru East,South,2.0,28000,20000,48
2025-02-03,ORD-10243,Premium Basmati Rice 5kg,Grocery,Kolkata South,East,2.0,850,580,116
2025-02-03,ORD-10244,Sony WH-1000XM5 Headphones,Electronics,Chennai Central,South,4.0,28000,20000,34
2025-02-04,ORD-10245,Robot Vacuum Cleaner,Home & Kitchen,Kolkata South,East,4.0,29000,19000,121
2025-02-04,ORD-10246,Ergonomic Office Chair,Furniture,Bengaluru East,South,1.0,18000,11000,98
2025-02-04,ORD-10247,Puma Track Pants,Apparel,Bengaluru East,South,3.0,2200,1100,37
2025-02-04,ORD-10248,Organic Extra Virgin Olive Oil 1L,Grocery,Mumbai West,West,7.0,1400,950,149
2025-02-04,ORD-10249,Sony WH-1000XM5 Headphones,Electronics,Delhi North,North,3.0,28000,20000,71
2025-02-04,ORD-10250,Solid Wood Dining Table,Furniture,Chennai Central,South,1.0,45000,30000,150
2025-02-05,ORD-10251,Adidas Ultraboost,Apparel,Delhi North,North,2.0,12000,7000,75
2025-02-05,ORD-10252,Samsung Galaxy S24,Electronics,Delhi North,North,2.0,90000,72000,59
2025-02-05,ORD-10253,Philips Air Fryer XL,Home & Kitchen,Chennai Central,South,2.0,12500,8500,141
2025-02-05,ORD-10254,Imported Coffee Beans 500g,Grocery,Kolkata South,East,6.0,1200,750,53
2025-02-05,ORD-10255,Organic Extra Virgin Olive Oil 1L,Grocery,Bengaluru East,South,5.0,1400,950,85
2025-02-05,ORD-10256,Dyson Airwrap Styler,Home & Kitchen,Delhi North,North,1.0,49000,38000,94
2025-02-05,ORD-10257,iPhone 15 Pro,Electronics,Delhi North,North,3.0,120000,95000,34
2025-02-05,ORD-10258,Dell XPS 15,Electronics,Kolkata South,East,4.0,140000,110000,133
